企業名,サービス名,サービス概要,ローンチ日,url
freee,freee登記,変更したい株式会社の会社情報を入力するだけで、司法書士に依頼することなく必要書類を自動作成、法務局に行かずに郵送で申請できるサービス,,https://www.freee.co.jp/registration/
freee,freee販売,見積書や請求書、発注書など受注・発注に関する書類の発行や、受注案件の進捗状況、粗利の見込・実績を管理できるサービス,,https://www.freee.co.jp/sales-management/small-business/
freee,freeeサイン,面倒な契約業務を直感的な操作でオンライン完結できるサービス,,https://freee.co.jp/sales-management/small-business/
freee,freee受発注,発注者と受注者が同じサービスを利用することで、双方が効率化する取引プラットフォーム,,https://www.freee.co.jp/ordering/
freee,freee人事労務,定型業務の多い、勤怠管理、給与計算、労務手続き等の効率化・自動化を可能にするサービス,,https://www.freee.co.jp/hr/
freee,freee勤怠管理Plus,多彩な打刻方法、タイムリーな勤怠管理、給与との連携など、勤怠管理に関する課題を劇的に解決できるサービス,,https://www.freee.co.jp/time-tracking-plus/?utm_source=google&utm_medium=cpc&utm_campaign=2308%7Csmall06%7Cgsa_pcsptab_shimeikyoninka(license)&utm_content=06%7C01_shimeikyoninka&utm_term=10009777&restored=1709469407434
freee,freeeマイナンバー管理,低コストでマイナンバーの収集、管理、破棄までクラウド上で完結できるサービス,,https://www.freee.co.jp/my-number/
freee,freee福利厚生,会社が従業員に住居を貸与する社宅制度の導入から導入後の運営までを支援するサービス,,https://www.freee.co.jp/benefit/?utm_source=google&utm_medium=cpc&utm_campaign=2308%7Csmall06%7Cgsa_pcsptab_shimeikyoninka(license)&utm_content=06%7C01_shimeikyoninka&utm_term=10009777&restored=1709469436669
freee,freee工数管理,案件管理、工数管理、レポートの可視化をプロダクト上で一元管理し、プロジェクト毎の収支管理を可能とするサービス,,https://www.freee.co.jp/project-management/
freee,freee会計,財務会計に加え、債権債務、請求書、経費精算、ワークフロー機能等をカバーし、個人事業主・法人共に経理に必要な情報の収集、可視化を実現したサービス,,https://www.freee.co.jp/
freee,freee請求書,フォーム入力で誰でも簡単に見積書・納品書・請求書などを作成できるサービス,,https://www.freee.co.jp/invoice/
freee,freeeアプリストア,外部サービスとの連携や日々の業務効率化につながるアプリをfreeeと手軽に連携させることで、より快適・便利なご利用を促進するためのサービス,,https://app.secure.freee.co.jp/
freee,freeeカード Unlimited,法人を対象とした企業成長を支援するための統合型コーポレートカード,,https://www.freee.co.jp/payment/card/
freee,freee出版,「スモールビジネスの翼になる。」をミッションとして、書籍やイベントを通じてスモールビジネスの経営に関するナレッジを探求・発信し、だれもが自由に自然体で経営できる環境を作っていくための出版レーベル,,https://www.freee.co.jp/publishing/
freee,起業時代,上記レーベルから出版されている起業・開業に必要な情報が詰まった雑誌です。起業家インタビューに加え、税理士・経営コンサルタント監修のもと起業・開業のダンドリなど最新情報を発信,,https://www.freee.co.jp/kigyojidai/
freee,freee税理士登録,税理士登録するために必要な手続きに沿った流れで情報を掲載している、利用料無料のサービス,,https://adv.freee.co.jp/service/tax-accountant-registration
サイバーエージェント,ABEMA PPV ONLINE LIVE,アーティストのライブ、イベント、スポーツ興行、ファッションショー、舞台などの多彩なオンラインライブを提供,,https://abema-ppv-onlinelive.abema.tv/
サイバーエージェント,CL,LDHのコンテンツをお楽しみいただけるデジタルコミュニケーションサービス,,https://www.cl-live.com/programs/ondemand/osVrz8Qzu5oJkvo5aRSW1h
サイバーエージェント,WRESTLE UNIVERSE,プロレス動画配信サービス。DDT、プロレスリングノア、東京女子プロレスなどのコンテンツを動画配信,,https://www.wrestle-universe.com/ja
サイバーエージェント,極予測AI,AIを活用した革新的な制作プロセスで広告クリエイティブを制作し、広告効果がでた時のみクリエイティブ制作費を成功報酬とする「極予測AI(キワミヨソクエーアイ)」の提供,,https://www.cyberagent.co.jp/news/detail/id=24647
サイバーエージェント,極予測TD,AIで数億キーワードの品質スコアを自動で改善効果の出せる広告テキストを自動生成「極予測TD」の提供,,https://www.cyberagent.co.jp/news/detail/id=24670
サイバーエージェント,極予測AI人間,企業ブランディングに適したモデルの制作キャスティングおよび、多種多様な髪型・ポーズ・ファッション・シチュエーションの表現や、コロナ禍で起用が難しい外国籍のモデルも生成が可能。撮影や表現の様々な制約や契約条件にとらわれることなく、広告クリエイティブを制作することができる。さらに当社ではクリエイティブ専門子会社を多数保有しており、3Dスキャン技術やデジタルヒューマンのCG制作を強みとする株式会社CyberHuman Productions等と連携し、「バーチャル撮影システム」や「LED STUDIO」を活用した撮影を行なうことで、より多くの素材データを作成し、多種多様かつ高品質な広告クリエイティブ制作が可能,202011,https://www.cyberagent.co.jp/news/detail/id=25322
サイバーエージェント,極予測LED,リアルタイムで効果を予測しながら撮影を続けることができるサービス高精細なCG背景空間が可能な「LED STUDIO」を背景に使用することで、バリエーション豊かなCGを自由に変更できる。これにより、「バーチャル背景」と「リアルの被写体」、そして「リアルタイムの効果予測AI」を組み合わせた、これまでにない革新的な動画の撮影スタイルを提供,202101,https://www.cyberagent.co.jp/news/detail/id=25695
サイバーエージェント,AIRTRACK AI,ユーザー行動の予測機能を搭載したAIエンジン。ユーザーの来店店舗予測をはじめ、広告接触による来店率および来店購買率やGPS精度の低い場所での来店者数の推定などが可能。これにより、見込み客の拡大を図るとともに、オンラインからの店舗送客を最大化するO2Oマーケティングを実現,,https://www.cyberagent.co.jp/news/detail/id=24920
サイバーエージェント,AI Messenger for Voice,予約や注文受付、情報照会など、企業における様々な電話業務を企業のニーズに応じて自動化することで、カスタマーサポートの業務効率化を支援。AIチャットボットの開発で培ってきたノウハウを活かし、音声対話に特化した対話エンジンを開発することで、より人間らしい自然な自動音声対話を実現,,https://www.ai-messenger.jp/voicebot/
サイバーエージェント,CAスマートPOP,店舗に来店したユーザーに対して、自社アプリを通した自由なコンテンツ配信を可能にするサービス。 自社アプリへSDKを実装することで、店舗に設置したビーコン・NFCタグ・QRコードと連動したクーポンや来店特典などのコンテンツ配信を実現し、キャンペーンや商品の認知、客単価の向上を狙う,,https://www.cyberagent.co.jp/news/detail/id=25615
サイバーエージェント,ミライネージ,小売店舗に設置したデジタルサイネージのネットワーク化により、店舗に関わらずサイネージ単位でコンテンツの一括管理を可能にする小売業向け店舗サイネージ配信プラットフォーム。AIカメラを用いた視聴データの集計・分析から販促・宣伝の最適な配信運用が可能になり、店舗のメディア化を実現することで小売業界の広告事業を支援する,,https://www.cyberagent.co.jp/news/detail/id=24848
サイバーエージェント,CAリテールマーケット,D2Cブランド・メーカーと小売店舗のマッチングから、商品出店時の集荷や配荷、棚の設営、サイネージなどの販促ツールを活用した運用・効果分析まで一気通貫したサポートを行う。小売企業・メーカーの双方にとって価値のある新規顧客獲得や収益最大化に寄与する,,https://www.cyberagent.co.jp/news/detail/id=24277
サイバーエージェント,カカクのカガク,過去のデータから開発した需要予測モデルによる価格・クーポン・ポイント発行等の最適化から、デジタル販促施策の企画・運用などのマーケティング支援により販促効果を最大化するサービス,,https://www.cyberagent.co.jp/news/detail/id=25506
サイバーエージェント,ミライネージ for Green,購買データおよびサイネージの視聴データから販促効果を分析し、システム上で設定されたタイミングにあわせ自動でサイネージを省電力モードへと切り替える機能を備えており、可能な限り販促効果を損なわずに電力消費量を削減することが可能,202301,https://www.cyberagent.co.jp/news/detail/id=28466
サイバーエージェント,コロナワクチンAI電話エージェント,AI Shiftの技術協力のもと開発した新型コロナワクチン接種に関する問い合わせ・予約専用の電話自動応対サービス。AIによる音声対話形式での自動応対を実現し、時間を気にせずいつでも問い合わせできることで、コールセンターの増席と比べてコストを抑えながら、利便性および満足度の高い住民サービスの構築が可能,,https://www.cyberagent.co.jp/news/detail/id=25849
サイバーエージェント,薬急便 for オンライン診療,オンライン診療の予約受付や予約管理、そしてオンライン診療までをワンパッケージで提供する、医療機関向けのデジタル化支援サービス,,https://help.yqb.jp/hc/ja/articles/360003548876-%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E8%A8%BA%E7%99%82%E3%81%AE%E4%BD%BF%E3%81%84%E6%96%B9
サイバーエージェント,薬急便,処方せん事前送信やオンライン服薬指導、処方薬の配達サービスなど薬局・ドラッグストアのデジタル化に必要な機能を兼ね備えた調剤DXプラットフォーム,202101,https://www.cyberagent.co.jp/news/detail/id=25468
サイバーエージェント,FANBASE ARENA,企画準備、配信機材不要で “ファン協力型”の ライブ配信ができるオフィシャルファンコミュニティ開設サービス,,https://www.cyberagent.co.jp/news/detail/id=25935
サイバーエージェント,ドットマネー,"会員数2,500万人を超える国内最大級のポイント交換サービス",,https://d-money.jp/
リクルート,タウンワーク,「家の近くで働きたい」「学校の近くで働きたい」「大好きなあの街で働きたい」など、勤務地を重視する読者へ向けた無料求人情報メディア,,https://townwork.net/
リクルート,スタディサプリ,小中高校生向けに、分かりやすいと評判のプロ講師の授業動画を配信するオンライン学習サービス,,https://studysapuri.jp/
リクルート,リクナビ,就職情報サイト／インターンシップ・就職準備サイト,,https://www.rikunabi.com/
リクルート,リクナビNEXT,社会人のための転職情報サイト,,https://next.rikunabi.com/
リクルート,ホットペッパーグルメ,お得なクーポン満載の、グルメ情報、飲食店の検索・予約サイト,,https://www.hotpepper.jp/
リクルート,ホットペッパービューティー,国内最大級のヘアサロン・リラク＆ビューティーサロンの検索・予約サイト,,https://beauty.hotpepper.jp/
リクルート,Air REGI,0円でカンタンに使えるPOSレジアプリ,201311,https://airregi.jp/
リクルート,Airペイ,カード・電子マネー・QR・ポイントも使えるお店の決済サービス,201510,https://airregi.jp/payment/
リクルート,ゼクシィ,結婚式会場からジュエリーやドレス、引出物までブライダルに関するあらゆる情報を掲載,,https://zexy.net/
リクルート,じゃらん,旅を楽しむ、すべての人へ／国内・海外旅行予約,,https://www.jalan.net/
リクルート,suumo,借りる・買う・建てる・売る・リフォームという幅広いニーズに応えた不動産・住宅サイト,,https://suumo.jp/
リクルート,カーセンサー,中古車を軸に車の購入、買い替えにまつわる情報を幅広くお届け,,https://www.carsensor.net/
楽天,楽天市場,インターネット通販が楽しめる総合ショッピングモール,,https://www.rakuten.co.jp/
楽天,楽天ラクマ,個人間での不用品取引や、事業者からもリユース品などが購入できるフリマアプリ,,https://fril.jp/
楽天,楽天スーパーロジスティクス,「楽天市場」出店店舗の商品の保管から出荷までを一括して受託する総合物流サービス,,https://logistics.rakuten.co.jp/
楽天,楽天トラベル,"登録宿泊施設数42,000以上の国内最大級の旅行予約サービス",,https://travel.rakuten.co.jp/
楽天,楽天超ミニバイト,データ入力・チェック、アンケートなどの「タスク」を楽天会員が実施するマイクロタスク型クラウドソーシングサービス,,https://minijob.rakuten.co.jp/
楽天,楽天宝くじ,LOTO(ロト)とNUMBERS(ナンバーズ)のそれぞれのくじの購入から当せん金の受け取りまで、すべてインターネットでできるウェブサービス,,https://takarakuji.rakuten.co.jp/
楽天,楽天データマーケティング,消費行動分析データを活用したマーケティングソリューションの提供,,https://rakuten-data-marketing.co.jp/
楽天,楽天インサイト,約220万人のパネルから生み出されるリサーチデータに加えて、楽天グループが蓄積する行動ログデータに基づいた独自のサービスを提供,,https://member.insight.rakuten.co.jp/
楽天,楽天データソリューションズ,データを活用した新たなデータソリューションの研究・開発,,https://www.rakuten-data-solutions.co.jp/
楽天,楽天ペイ,クレジットカードや楽天銀行口座を登録して、スマホアプリで簡単にお支払いができるキャッシュレス決済サービ,,https://pay.rakuten.co.jp/
楽天,楽天カード,金融サービスをより便利で使いやすく、身近な存在にすることを目指し、主にクレジットカード事業を通じて、お客様に安心・安全で満足度の高い金融サービス,,https://www.rakuten-card.co.jp/
楽天,楽天銀行,デジタルバンキングサービス,2001,https://www.rakuten-bank.co.jp/
LINEヤフー,LINE,友だちや家族と、1対1やグループでのトーク、音声通話・ビデオ通話を、国内・海外・通信キャリアを問わず、いつでも、どこでも無料で楽しメル。さまざまな人や情報、サービス、企業・ブランドと、シームレスに繋がることが可能,,https://line.me/ja/
LINEヤフー,Yahoo! JAPAN,ポータルサイト「Yahoo! JAPAN」をはじめ、検索、ニュース、天気、ショッピング、オークションなど、これまでさまざまなサービスをスマートフォン・パソコンなどのデバイス向けに提供しています。                    ,,https://www.yahoo.co.jp/
LINEヤフー,carview,LINEヤフーが運営する日本最大級の自動車総合情報サイト「carview!（カービュー）」。ユーザーや自動車ライターのレビューを豊富に掲載。新型モデル、ランキング、グレード、スペック、画像などのカタログ情報を毎日更新。47万台以上の中古車情報も掲載,,https://carview.yahoo.co.jp/
LINEヤフー,Yahoo!ショッピング,Yahoo!ショッピングは幅広い品ぞろえと、最新のお買い得ネット通販情報が満載のオンラインショッピングモール。,,https://shopping.yahoo.co.jp/
LINEヤフー,ヤフー・データソリューション,ヤフーの検索・位置情報などのビッグデータ分析ツール、自社分析環境と連携できるAPI、オーダーメイドに課題解決するデータアナリストなど、最適なソリューションで事業をサポートする,,https://ds.yahoo.co.jp/
LINEヤフー,Yahoo!トラベル,国内･海外の航空券やツアー、レンタカー、高速バスなどの予約や観光・温泉情報、クチコミやQ&Aなど旅の情報満載の旅行サイト。日程や希望の条件からプランを簡単に検索できる,,https://travel.yahoo.co.jp/
LINEヤフー,Yahoo!オークション,Yahoo!オークションは、お店にないものも見つかる買える、日本最大級のネットオークション・フリマアプリ。オークションに加え、フリマ出品ですぐ売れる、買える,,https://auctions.yahoo.co.jp/
LINEヤフー,LINE STORE,LINE STOREはLINEの公式オンラインストア。スタンプや着せかえ、ゲームやLINE プレイ・マンガ・占いのルビーやコインを購入できる。,,https://store.line.me/home/ja
LINEヤフー,LINE 広告,"月間9,600万人が利用するLINEに広告を出稿するための広告配信プラットフォーム。「トークリスト」や「LINE NEWS」、「LINE VOOM」をはじめとするLINEの様々な面やファミリーサービスなどに広告配信が可能。オンラインで手軽に広告配信設定をすることができる",,https://www.lycbiz.com/jp/service/line-ads/
LINEヤフー,Yahoo!ファイナンス,リアルタイム株価、最新ニュース、株式掲示板などを提供する、投資やマネーの総合情報サイト。株価指数、外国為替相場、日本株、米国株など、投資判断に役立つ情報を掲載,,https://finance.yahoo.co.jp/
LINEヤフー,Yahoo!不動産,マンション・一戸建て・アパート・土地に関する購入・売却・賃貸の不動産住宅情報サイト。相場・評判、価格・間取り、不動産会社、ハウスメーカーなど豊富な物件・情報で住まい探し・お部屋探しをサポート,,https://realestate.yahoo.co.jp/
LINEヤフー,LINEギフト,LINEの友だちにギフトを贈ることができるサービス,,https://linegift.line.me/
DMM,DMM TV,アニメ・エンタメの総合動画配信サービス,202212,https://tv.dmm.com/vod/
DMM,DMMブックス,電子書籍配信サービス,2000,https://book.dmm.com/
DMM,DMM pictures,アニメーション製作・ライセンスビジネス,2016,https://pictures.dmm.com/
DMM,DMM GAMES,国内最大級のPCゲームプラットフォーム運営,,https://games.dmm.com/
DMM,DMMオンクレ,オンラインで楽しむクレーンゲーム,,https://onkure.dmm.com/
DMM,DMMスクラッチ,はずれなしのオンラインくじ,201711,https://scratch.dmm.com/
DMM,DMMオンラインサロン,オンライン事業,201602,https://lounge.dmm.com/
DMM,DMM通販,通販サービス,1998,https://lounge.dmm.com/
DMM,DMM宅配レンタル,ネット宅配レンタル,,https://www.dmm.com/rental/
DMM,DMMオンラインクリニック,オンライン診療プラットフォーム,202112,https://clinic.dmm.com/
DMM,デジタルコミック事業,デジタルコミックコンテンツの制作とライセンス管理、及びBtoB取引営業,,https://dmm-corp.com/business/digitalcomic/
DMM,DMMチャットブースト,業種業態、目的ごとに合わせたLINE公式アカウントの機能拡張ツールを提供,,https://chatboost-ec.dmm.com/
DMM,STAR BOOST,インフルエンサーマッチングプラットフォームの運営,202204,https://starboost.dmm.com/
DMM,DMMバーチャルオフィス,業界最安水準の価格で、一等地のバーチャルオフィスを提供,,https://virtualoffice.dmm.com/
DMM,DMM英会話,オンライン英会話サービス,201302,https://eikaiwa.dmm.com/
DMM,DMM FX,FX取引(店頭外国為替証拠金取引)を行えるサービス,,https://fx.dmm.com/
DMM,DMM WEBCAMP,教育事業、人材関連事業,,https://web-camp.io/
DMM,DMM music,音楽レーベル/アーティストマネジメント事業,201803,https://pictures.dmm.com/music/
DMM,DMM競輪,競輪車券・競輪くじの販売サイト運営,,https://keirin.dmm.com/
GMOインターネットグループ,お名前.com,"登録実績3,000万件を誇る国内最大級のドメイン公式登録サービスです。.com .net .jpドメインなど、580種類以上のドメイン取得が可能で、ドメインを活用できるサービスもご用意しています。",,https://www.onamae.com/
GMOインターネットグループ,ConoHa byGMO,ブログやHP作成に最適な国内最速レンタルサーバー『ConoHa WING』をはじめ、よりサーバーを自由にカスタマイズ・構築することが可能で最新のGPUサーバーも利用できる『ConoHa VPS』、初心者でもかんたんにマルチプレイが始められる、ゲームユーザー向けの『ConoHa for GAME』など、お客様のご利用目的に応じて最適なサービスをお選びいただけるホスティングサービス,,https://www.conoha.jp/
GMOインターネットグループ,GMOとくとくBB,ドコモ光やGMO光アクセスなどの光回線や、WiMAXなどのモバイル回線サービスをより多くの方に満足いただけるように、どこよりもおトクに提供しているプロバイダーサービス,,https://gmobb.jp/
マネーフォワード,マネーフォワード クラウド会計,面倒な法人決算をラクにするクラウド型会計ソフト,,https://biz.moneyforward.com/accounting/
マネーフォワード,マネーフォワード クラウド会計Plus,内部統制機能を備えた、中堅企業・上場企業向けクラウド型会計ソフト。,,https://biz.moneyforward.com/accounting_plus
マネーフォワード,マネーフォワード クラウド確定申告,確定申告作業をラクにする、個人事業主のためのクラウド型確定申告ソフト。,,https://biz.moneyforward.com/accounting_plus
マネーフォワード,マネーフォワード クラウド,請求書の作成・送付・受取がまとめて管理できる請求書作成ソフト。,,https://biz.moneyforward.com/invoice
マネーフォワード,マネーフォワード クラウド請求書Plus,請求書や見積書の発行業務を効率化する請求書管理サービス。,,https://biz.moneyforward.com/receivable
マネーフォワード,マネーフォワード クラウド債権管理,入金消込を自動化し、債権管理業務を効率化する入金消込・債権管理システム。,,https://biz.moneyforward.com/receivable-management
マネーフォワード,マネーフォワード クラウド経費,面倒な経費精算業務を効率化するクラウド型経費精算システム。,,https://biz.moneyforward.com/expense
マネーフォワード,マネーフォワード クラウド債務支払,支払請求書管理業務を効率化するクラウド型債務管理システム。,,https://biz.moneyforward.com/payable
マネーフォワード,マネーフォワード クラウドインボイス,中堅・エンタープライズ企業向けの請求書受領・送付システム。,,https://biz.moneyforward.com/cloud-invoice/
マネーフォワード,マネーフォワード 固定資産,内部統制にも対応したクラウド型固定資産管理システム。,,https://biz.moneyforward.com/fixed-assets
マネーフォワード,マネーフォワード クラウド個別原価,工数入力、個別原価計算、プロジェクト原価の可視化をラクにするクラウド型個別原価管理システム。,,https://biz.moneyforward.com/project-cost
マネーフォワード,マネーフォワード クラウド連結会計,グループ各社のデータ収集を効率化し、経営状況をリアルタイムに可視化する連結会計システム。,,https://biz.moneyforward.com/consolidated-accounting
マネーフォワード,マネーフォワード クラウドBox,電子帳簿保存法の要件を満たして、取引関係書類を電子保存するストレージサービス。,,https://biz.moneyforward.com/box
マネーフォワード,ネーフォワード クラウド人事管理,入退社手続き・従業員管理・組織管理を効率化するクラウド型人事管理システム。,,https://biz.moneyforward.com/employee
マネーフォワード,マネーフォワード クラウド勤怠,従業員の勤怠状況を確認・集計・分析できるクラウド型勤怠管理システム。,,https://biz.moneyforward.com/attendance/
マネーフォワード,マネーフォワード クラウド給与,面倒な給与計算業務を効率化できるクラウド型給与計算ソフト。,,https://biz.moneyforward.com/payroll
マネーフォワード,マネーフォワード クラウド年末調整,書類配布から入力・回収・提出をWeb上で完結できるクラウド型年末調整ソフト。,,https://biz.moneyforward.com/tax-adjustment
マネーフォワード,マネーフォワード クラウド社会保険,社会保険手続きに関する業務を効率化するクラウド型社会保険手続きソフト。,,https://biz.moneyforward.com/social_insurance
マネーフォワード,マネーフォワード クラウドマイナンバー,法人・個人事業主向けのマイナンバー管理システム。,,https://biz.moneyforward.com/mynumber
マネーフォワード,マネーフォワード クラウド契約,契約管理業務を効率化できる電子契約サービス。,,https://biz.moneyforward.com/contract
マネーフォワード,マネーフォワード クラウド会社設立,会社設立に必要な書類を無料で簡単に作成できるサービス。,,https://biz.moneyforward.com/establish
マネーフォワード,マネーフォワード クラウド開業届,開業手続きに必要な書類を無料で簡単に作成できる個人事業主の開業支援サービス。,,https://biz.moneyforward.com/starting-business
マネーフォワード,マネーフォワード ビジネスカード,SaaS基盤を活用したFintechサービス。事業用プリペイドカード『マネーフォワード ビジネスカード』を提供。,,https://biz.moneyforward.com/biz-pay
マネーフォワード,STREAMED,領収書や通帳など紙の証憑をスキャンするだけで、仕訳データ化する紙証憑の自動記帳サービス。,,https://streamedup.com/
マネーフォワード,Manageboard,クラウド上で簡単に予算策定や予実分析ができる予算管理システム。,,https://service.manageboard.jp/
マネーフォワード,R&AC,導入企業数No.1の入金消込・債権管理特化型クラウドシステム。,,https://www.r-ac.co.jp/
マネーフォワード,Admina,“SaaSの家計簿”のようにSaaSの一元管理を可能にするSaaS管理プラットフォーム。,,https://admina.moneyforward.com/jp
マネーフォワード,マネーフォワード キャリア,会計事務所のネットワークと専門知識、個性・関係性の科学的な理論を用いた会計業界特化の人材紹介サービス。,,https://cpta-hub.biz.moneyforward.com/career
マネーフォワード,BOXIL SaaS,法人向けクラウドサービスを無料で比較し、まとめて資料請求できるSaaS比較サイト。,,https://boxil.jp/
マネーフォワード,BOXIL EXPO,SaaSを中心としたサービスとの最適な出会いを実現するオンライン展示会。,,https://expo.boxil.jp/
マネーフォワード,BALES,営業の効率化と生産性向上で売上の最大化を支援する、インサイドセールスアウトソーシング。,,https://bales.smartcamp.co.jp/
マネーフォワード,BALES CLOUD],インサイドセールス業務を標準化、自動化するセールスエンゲージメントツール。,,https://balescloud.jp/
マネーフォワード,アドシル,SaaS領域のマーケティング戦略立案から運用、実行支援、データ分析までを行うデジタルエージェンシー。,,https://smartcamp.co.jp/adxl
マネーフォワード,BizHint,経営者、決裁者が抱える事業課題を解決する クラウド活用と生産性向上の専門サイト。,,https://bizhint.jp/
マネーフォワード,マネーフォワード ケッサイ,取引先の与信審査から請求書発行、代金回収までの決済業務を一括して代行する企業間後払い決済サービス。,,https://mfkessai.co.jp/kessai/top
マネーフォワード,マネーフォワード トランザクションファイナンス for Startups,スタートアップ向けの補完的な資金調達の選択肢で、売掛債権を早期に資金化できるサービス。,,https://mfkessai.co.jp/startup/top
マネーフォワード,マネーフォワード 請求書カード払い for Startups,請求書のカード払いを実現し、資金繰り改善・支払い業務の効率化をサポートするサービス。,,https://mfkessai.co.jp/invoice-card-pay/top
マネーフォワード,マネーフォワード アーリーペイメント,事業成長を支える新しい資金調達の選択肢で、売掛金を早期に資金化できるファクタリングサービス。,,https://mfkessai.co.jp/ep/top
マネーフォワード,SHIKIN+ [資金プラス],売掛金の早期資金化を実現する、中小企業向けのオンライン型ファクタリングサービス。,,https://bizforward.co.jp/shikinplus/top
マネーフォワード,SEIKYU+,与信や請求業務を代行し、売掛金の入金保証まで行うクラウド型BtoB請求代行サービス。,,https://bizforward.co.jp/seikyuplus/top
マネーフォワード,ビズフォワード 請求書カード払い,請求書のカード払いを実現し、資金繰り改善・支払い業務の効率化をサポートするサービス。,,https://bizforward.co.jp/invoice-card-pay/top
マネーフォワード,HIRAC FUND,テクノロジーによる社会課題解決を目指すスタートアップを支援するアントレプレナーファンド。,,https://www.hirac.co.jp/
